                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     47,                 1.3357,                0.69904,                0.82232,                0.91337,                0.78827,                0.88178,                0.50417,                 1.5553,                0.80047,                0.88593,             0.00073869,             0.00073869,             0.00073869
                     48,                 1.3275,                0.69843,                0.81355,                0.89685,                0.82311,                 0.8922,                0.51924,                  1.508,                0.70236,                0.87657,             0.00071806,             0.00071806,             0.00071806
                     49,                 1.3347,                0.68768,                 0.8208,                0.97226,                0.81405,                0.89266,                0.49982,                 1.5176,                0.69191,                0.87265,             0.00069743,             0.00069743,             0.00069743
                     50,                 1.3492,                0.70765,                0.81492,                 0.9355,                 0.8288,                 0.9017,                0.50654,                 1.5461,                0.70345,                0.87164,              0.0006768,              0.0006768,              0.0006768
                     51,                 1.3309,                0.69676,                0.81817,                0.92581,                0.81046,                0.89487,                0.45961,                  1.633,                0.70169,                0.88508,             0.00065617,             0.00065617,             0.00065617
                     52,                 1.3189,                0.67316,                0.81785,                0.90994,                0.80542,                0.88097,                0.47444,                 1.5474,                0.71699,                0.87373,             0.00063554,             0.00063554,             0.00063554
                     53,                 1.3428,                0.68743,                 0.8221,                0.95365,                0.79652,                0.89222,                0.47362,                 1.6768,                0.75346,                 0.8943,             0.00061491,             0.00061491,             0.00061491
                     54,                 1.2566,                0.63053,                 0.8176,                0.94195,                0.83581,                0.91392,                0.50869,                 1.5513,                0.67537,                0.86861,             0.00059429,             0.00059429,             0.00059429
                     55,                 1.2696,                0.64843,                0.81613,                0.95442,                0.82954,                0.89789,                0.52148,                 1.4113,                0.61473,                0.86175,             0.00057366,             0.00057366,             0.00057366
                     56,                 1.2826,                0.67561,                0.81723,                0.94612,                0.84233,                0.91386,                0.50347,                 1.5533,                0.68809,                 0.8721,             0.00055303,             0.00055303,             0.00055303
                     57,                 1.2429,                0.61478,                0.81446,                0.97274,                0.81409,                 0.8996,                0.54099,                 1.4148,                 0.6752,                0.86576,              0.0005324,              0.0005324,              0.0005324
                     58,                 1.2544,                0.66119,                0.80208,                0.92009,                0.80871,                0.87495,                 0.5154,                 1.4514,                0.67147,                0.86821,             0.00051177,             0.00051177,             0.00051177
                     59,                 1.1673,                0.59883,                0.80824,                0.94205,                0.84942,                0.91993,                0.53687,                 1.4729,                0.63364,                0.86843,             0.00049114,             0.00049114,             0.00049114
                     60,                 1.1787,                0.59932,                0.81677,                0.94696,                0.80976,                0.90447,                0.52752,                 1.4265,                0.65122,                0.85852,             0.00047051,             0.00047051,             0.00047051
                     61,                 1.2091,                0.63158,                0.80232,                0.95136,                 0.8225,                 0.9039,                0.52565,                 1.4576,                0.64469,                0.86341,             0.00044988,             0.00044988,             0.00044988
                     62,                 1.2784,                0.62653,                0.80948,                0.96051,                 0.8047,                0.88996,                0.49777,                 1.4993,                0.64639,                0.86913,             0.00042925,             0.00042925,             0.00042925
                     63,                 1.1668,                0.60214,                0.81472,                0.95371,                0.83074,                0.89595,                0.50673,                 1.4838,                0.62628,                0.86399,             0.00040862,             0.00040862,             0.00040862
                     64,                 1.1961,                0.62896,                0.81081,                0.95074,                0.82625,                0.91122,                0.55376,                 1.3767,                 0.5872,                0.85717,             0.00038799,             0.00038799,             0.00038799
                     65,                 1.1816,                0.55843,                0.80334,                0.89336,                0.86151,                0.91282,                0.52059,                 1.4939,                0.62977,                0.86408,             0.00036737,             0.00036737,             0.00036737
                     66,                 1.1744,                0.58567,                0.79518,                0.93139,                0.81376,                0.89908,                0.52295,                 1.4696,                0.65346,                0.86408,             0.00034674,             0.00034674,             0.00034674
                     67,                 1.1292,                0.59081,                0.81376,                0.98294,                0.80871,                0.91053,                0.53058,                 1.4914,                0.63063,                 0.8698,             0.00032611,             0.00032611,             0.00032611
                     68,                 1.1672,                0.56991,                0.80202,                0.96739,                0.79798,                0.90186,                0.53762,                 1.4573,                 0.6269,                0.86629,             0.00030548,             0.00030548,             0.00030548
                     69,                 1.1007,                0.57514,                0.79716,                0.96262,                0.80885,                0.91257,                0.51002,                 1.5654,                 0.6409,                0.86935,             0.00028485,             0.00028485,             0.00028485
                     70,                 1.1047,                0.56256,                0.79521,                0.93538,                0.86284,                 0.9297,                0.57115,                 1.3617,                0.60021,                 0.8553,             0.00026422,             0.00026422,             0.00026422
                     71,                 1.0499,                0.54505,                0.79845,                 0.9409,                0.84225,                0.91913,                0.51939,                 1.4757,                0.61405,                0.86075,             0.00024359,             0.00024359,             0.00024359
                     72,                0.98448,                0.52265,                0.80863,                0.97877,                0.80871,                0.92257,                0.53173,                 1.4869,                0.63268,                0.85868,             0.00022296,             0.00022296,             0.00022296
                     73,                 1.0057,                0.52325,                0.80262,                0.98345,                0.79652,                0.90822,                0.52787,                 1.4502,                 0.6263,                0.85717,             0.00020233,             0.00020233,             0.00020233
                     74,                 1.0115,                0.51292,                0.79566,                0.92644,                 0.8362,                0.91646,                 0.5166,                 1.5376,                0.62804,                0.86427,              0.0001817,              0.0001817,              0.0001817
                     75,                 1.0315,                0.54166,                 0.7893,                0.92914,                0.84257,                0.91971,                0.55409,                 1.4195,                 0.6007,                0.85852,             0.00016107,             0.00016107,             0.00016107
                     76,                0.98298,                0.50264,                0.80019,                0.96067,                 0.8108,                0.91171,                0.52855,                 1.4828,                0.60854,                0.86074,             0.00014044,             0.00014044,             0.00014044
                     77,                0.98311,                0.49823,                0.79619,                0.92769,                 0.8637,                0.91511,                0.51296,                 1.4915,                0.59957,                0.86009,             0.00011982,             0.00011982,             0.00011982
                     78,                 1.0163,                0.49888,                0.80665,                 0.9585,                0.83396,                0.92067,                0.53667,                 1.4313,                0.58522,                0.85902,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     79,                0.96202,                0.49602,                0.78277,                0.94186,                0.84233,                0.91504,                0.53946,                 1.4415,                0.59235,                0.86121,             7.8557e-05,             7.8557e-05,             7.8557e-05
                     80,                0.92674,                0.50649,                0.78954,                0.94546,                0.84473,                0.91997,                0.54177,                 1.4432,                0.59016,                0.86118,             5.7928e-05,             5.7928e-05,             5.7928e-05
